"Age" "Resident" "Attitude.Reduce.Bill" "Attitude.Environment" "Bedroom" "Education" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121"
"333" 5 2 1 1 4 5 36.826 38.932 40.743 36.425 42.832 42.817 44.473 39.282 36.1 40.536 39.509 39.479 39.175 46.303 43.988 29.08 40.795 41.51 28.626 44.779 45.603 51.594 47.43 45.112 63.863 50.596 53.859 52.364 45.568 60.718 85.08 41.471 41.937 36.3 52.263 47.506 69.395 63.029 46.151 45.238 77.732 54.542 42.326 45.649 40.763 41.133 45.634 39.186 27.602 29.956 25.543 27.862 25.73 22.282 24.312 29.372 37.974 21.026 23.163 22.41 23.577 22.139 25.166 22.25 22.447 23.045 26.578 22.705 26.33 27.669 27.407 21.793 25.327 22.694 22.071 27.775 28.149 26.485 23.334 22.292 21.887 24.793 26.038 24.113 23.409 21.147 20.911 22.421 21.969 21.49 24.402 28.51 23.074 27.058 22.388 22.405 23.468 25.798 22.406 22.199 21.652 21.91 21.409 24.333 23.103 21.068 20.178 20.592 24.112 21.378 23.564 25.628 24.984 19.508 21.896 24.404 21.106 23.484 28.51 25.817 22.424
"340" 6 2 1 3 3 4 22.996 20.175 24.094 19.822 22.814 23.732 42.403 15.036 24.093 18.49 18.3 23.2 22.54 34.887 39.703 17.548 34.425 19.2 24.863 20.418 27.007 21.622 26.426 15.732 29.059 21.567 28.077 29.428 22.736 22.628 33.193 19.407 28.677 45.687 29.357 27.765 19.767 23.61 44.011 31.917 24.731 28.443 9.555 19.082 24.046 18.289 11.669 23.513 24.321 23.109 20.229 19.796 18.838 21.925 19.86 25.008 20.264 19.249 19.736 19.764 16.786 23.673 24.106 16.072 14.386 14.547 17.509 18.563 23.599 24.026 19.177 27.349 21.811 19.767 22.194 24.08 18.589 18.876 18.866 19.706 24.204 18.516 24.67 27.148 19.587 21.925 21.661 18.259 22.223 21.821 20.758 16.308 22.533 19.335 23.094 20.464 18.787 22.018 18.606 20.979 19.056 20.129 20.4 20.956 21.533 21.763 19.065 20.202 20.074 17.917 25.607 22.639 18.396 18.872 18.953 19.062 18.786 18.408 20.358 18.947 21.689
"393" 5 3 1 1 2 2 8.332 9.309 9.781 8.857 9.977 8.247 7.615 8.226 9.197 8.265 9.103 8.608 8.379 7.209 7.438 8.499 9.088 12.057 12.555 9.104 7.29 9.87 10.378 11.122 10.846 11.398 9.399 9.934 10.65 9.12 11.058 11.188 11.828 11.097 9.65 11.049 11.216 14.429 14.664 14.774 12.107 11.384 11.292 11.592 10.732 13.691 12.253 6.776 5.12 6.684 7.737 5.844 6.317 5.787 7.525 5.338 6.334 6.675 5.96 6.083 5.51 7.622 8.056 5.732 8.138 5.807 6.076 6.862 4.486 5.992 6.633 6.225 5.928 6.16 7.129 6.696 5.54 6.094 5.706 6.918 9.639 6.429 6.135 6.493 7.503 6.187 6.926 5.437 5.772 5.692 5.912 6.012 7.496 6.119 8.707 6.215 5.524 5.141 6.088 6.385 7.314 5.992 8.994 6.695 5.488 7.747 6.016 7.286 6.025 6.323 5.843 5.835 5.99 6.03 5.933 5.809 6.422 6.116 4.865 5.086 5.6
"401" 4 2 1 1 4 4 31.07 36.624 27.339 23.289 34.651 58.985 33.977 41.837 29.58 37.101 34.597 34.151 32.77 29.984 45.518 30.756 41.183 46.974 52.294 64.296 71.087 85.501 29.41 33.384 28.022 51.09 36.676 43.137 30.659 29.81 32.665 38.097 35.896 45.376 65.091 57.253 39.429 40.725 41.641 29.092 31.38 25.159 20.13 37.773 44.305 43.922 46.321 16.206 15.799 15.965 32.116 25.912 35.889 21.823 25.078 21.363 18.824 24.175 21.801 19.508 24.695 21.866 16.929 18.66 20.367 22.095 24.083 27.48 23.099 20.404 18.936 25.21 16.684 22.384 18.678 34.185 31.942 22.36 28.789 28.478 27.147 25.173 22.762 27.608 21.791 23.597 19.578 18.656 19.088 21.601 28.072 19.49 29.13 21.489 21.281 24.01 21.037 30.69 19.781 17.251 17.804 19.006 22.415 23.063 27.437 18.058 24.355 22.931 17.802 20.834 18.3 20.656 23.873 24.809 19.437 15.4 15.992 18.149 24.953 22.263 26.892
"474" 4 2 1 1 2 4 12.486 23.423 18.177 14.46 13.684 23.197 18.673 12.802 16.043 19.36 15.402 14.225 19.874 24.936 21.045 21.024 31.754 19.518 19.798 30.626 23.396 23.354 25.948 25.274 15.384 18.807 25.718 21.525 13.741 14.548 13.194 16.785 22.799 23.988 20.727 22.338 15.835 26.365 29.771 19.798 24.039 18.121 17.322 19.791 22.691 16.836 26.032 19.293 19.927 19.157 19.596 21.262 20.694 21.61 20.273 28.365 19.234 18.417 19.828 21.812 19.303 19.476 18.007 19.889 21.516 18.306 18.789 19.562 19.049 20.627 18.734 18.638 18.726 18.811 20.072 21.69 18.7 19.009 20.454 18.351 18.77 19.261 18.269 19.84 19.776 19.969 18.68 17.968 21.717 19.264 18.86 19.503 18.418 19.249 17.785 19.012 18.705 19.819 18.459 18.986 20.208 20.798 19.929 18.755 18.983 17.993 18.783 18.448 18.214 18.917 17.526 18.475 20.022 17.446 22.181 20.98 19.987 18.282 19.07 18.494 18.172
"570" 5 3 1 1 2 3 17.354 23.025 27.417 19.411 21.253 16.974 11.182 13.61 13.285 18.572 27.154 19.137 25.868 18.153 18.877 21.194 26.641 20.257 15.757 28.409 33.299 18.445 17.348 18.942 19.621 18.145 20.337 20.037 26.955 15.676 24.955 16.819 20.297 27.416 27.164 18.065 19.719 29.993 18.195 33.599 40.644 32.652 18.061 23.72 35.11 26.014 31.199 24.943 13.043 11.708 8.105 8.621 11.756 8.985 8.326 7.556 10.416 7.183 10.226 8.244 9.346 10.047 8.347 7.445 8.01 7.556 8.15 8.673 9.487 9.477 10.247 7.314 8.966 8.078 8.033 7.379 7.798 8.506 9.063 5.33 4.619 6.602 8.888 8.239 7.71 8.045 8.56 7.832 8.536 6.841 8.146 6.585 7.911 6.717 11.671 8.652 9.288 8.409 9.406 6.937 9.576 9.083 8.589 7.024 7.278 8.446 7.069 8.698 7.366 8.125 8.793 6.276 6.971 7.441 7.101 6.669 10.246 7.567 7.813 7.043 8.378
"600" 4 3 1 1 3 4 30.526 19.03 26.118 28.695 22.958 33.672 26.134 19.894 20.148 24.39 25.666 17.758 19.264 12.933 33.381 30.922 22.168 25.214 13.668 36.471 29.541 29.099 30.38 15.17 24.782 31.227 17.704 23.898 25.345 25.725 22.714 22.984 36.122 24.185 19.685 24.526 29.889 24.156 18.77 24.789 23.554 26.623 31.393 27.476 27.357 25.801 18.032 23.372 22.604 30.432 21.808 24.879 22.428 22.903 23.31 30.574 24.85 26.418 34.004 25.038 32.773 24.899 26.032 27.682 24.221 24.95 23.856 23.36 30.326 23.786 22.654 29.393 27.837 23.413 28.219 28.467 22.492 22.792 23.262 35.257 25.086 24.117 23.616 24.218 27.402 25.172 42.965 23.575 24.774 22.452 22.402 25.186 21.239 25.559 23.596 29.793 32.534 24.21 25.933 23.491 22.034 26.316 25.255 26.274 22.046 29.51 29.552 24.988 22.912 29.303 29.788 20.672 26.932 25.253 30.104 21.502 29.93 25.103 20.679 29.464 22.206
"610" 2 2 1 2 2 4 9.457 13.438 11.849 10.772 9.403 6.392 7.135 16.312 12.27 9.883 6.592 9.386 9.396 10.094 11.342 12.704 13.129 9.982 13.338 14.493 7.743 13.999 12.504 7.136 8.775 6.226 12.033 8.163 11.536 7.929 10.252 11.432 10.272 10.282 10.522 8.918 11.769 8.606 11.615 9.352 8.89 4.872 7.283 13.849 11.851 7.219 9.732 9.992 11.87 11.653 15.532 10.228 10.654 10.742 11.015 12.924 12.104 11.894 11.343 10.339 10.961 10.745 12.746 11.235 12.825 12.216 11.339 12.144 11.748 12.134 11.431 12.052 10.717 10.705 11.068 10.723 11.495 10.957 12.59 15.008 13.646 14.927 10.728 10.452 10.221 11.154 10.414 11.235 10.983 11.191 10.392 11.561 11.404 11.836 11.236 11.251 11.104 11.146 11.873 14.91 11.408 11.388 11.62 12.45 15.423 11.859 12.161 11.115 10.884 10.76 10.902 11.22 11.817 14.395 11.333 11.043 11.53 11.337 11.328 10.739 11.829
"625" 4 4 1 1 4 5 47.409 55.34 37.764 34.195 44.875 42.254 62.167 47.115 34.652 44.454 25.578 27.632 47.224 45.299 37.11 38.379 27.389 51.997 54.645 55.806 43.963 41.445 41.625 42.791 26.438 33.195 44.953 53.4 38.205 36.699 25.949 32.686 23.494 54.509 57.354 48.535 30.997 39.071 47.681 58.885 35.903 81.868 48.354 51.08 62.939 59.244 52.901 55.761 54.283 45.856 51.335 48.031 43.069 49.891 39.787 44.616 53.64 49.217 44.782 46.547 45.628 47.128 48.108 52.896 43.704 44.281 47.696 46.475 48.401 47.056 46.723 52.636 50.085 44.59 47.298 48.454 46.706 56.826 47.774 46.989 49.074 52.928 50.148 49.213 48.863 51.444 52.004 52.035 42.164 37.668 37.89 37.983 38.125 38.1 40.092 48.724 47.393 48.695 44.457 47.11 45.69 46.623 48.869 49.91 45.23 43.922 44.034 49.366 50.342 49.93 48.783 48.493 52.2 42.924 46.428 40.922 45.639 49.454 49.847 49.825 50.297
"633" 2 2 1 1 4 4 25.322 26.465 18.919 32.589 27.206 37.586 43.861 34.467 21.84 24.553 32.862 29.36 30.459 42.428 28.332 66.008 27.306 29.745 38.748 48.848 27.743 28.047 28.347 27.281 24.595 32.427 51.294 44.202 27 28.015 23.775 28.941 43.29 48.577 28.82 36.451 34.695 85.033 105.766 99.946 127.325 68.194 29.953 41.122 47.478 65.131 31.984 56.526 52.228 41.977 47.512 46.756 42.984 49.039 57.7 49.531 52.658 47.318 50.016 45.743 47.782 43.204 47.268 38.229 42.034 45.711 44.897 43.777 42.266 43.917 43.606 40.577 43.084 40.755 44.29 42.618 43.441 44.999 46.217 44.974 41.484 42.132 43.404 41.755 41.767 41.718 40.526 41.849 42.447 45.169 38.743 42.312 40.898 43.213 47.654 40.372 42.915 48.549 38.207 47.232 41.523 40.212 40.588 42.748 45.657 39.515 42.275 42.957 43.098 41.823 39.796 39.189 37.513 40.057 41.806 37.787 36.662 44.843 38.992 44.327 39.965
"650" 2 1 1 1 2 5 23.628 11.427 17.066 10.88 19.351 18.607 16.094 21.496 8.467 14.437 19.046 10.794 25.852 12.893 11.393 19.012 9.825 10.933 31.815 8.464 6.947 20.476 9.52 18.486 11.832 20.664 19.758 9.56 24.181 18.791 11.827 15.469 20.929 33.675 9.749 10.737 22.888 24.607 15.207 53.616 16.096 20.603 11.948 20.583 20.925 27.028 13.01 17.575 14.058 14.022 15.068 16.935 15.454 14.378 21.437 12.057 13.655 12.461 20.39 13.89 13.249 15.002 17.899 12.079 12.089 12.539 13.227 15.527 13.837 12.881 12.542 12.402 12.036 14.926 15.936 17.183 13.371 12.622 12.937 13.02 12.06 13.511 12.675 12.218 12.751 13.529 14.554 12.579 12.769 12.367 13.922 12.239 12.041 12.216 12.099 12.641 14.133 14.984 12.026 12.54 12.985 11.772 12.933 14.266 21.201 12.945 11.883 12.867 19.778 13.055 17.654 17.687 11.78 12.317 12.157 12.902 12.853 13.62 19.036 13.451 11.902
"663" 2 3 1 2 3 3 16.659 33.23 28.586 23.899 26.098 35.543 24.49 22.252 30.959 33.174 20.979 29.993 38.076 31.067 20.058 18.653 25.647 38.992 26.9 35.658 37.389 32.083 21.623 35.56 39.091 16.247 46.491 38.827 25.829 27.95 29.818 30.389 23.315 36.786 40.656 34.71 37.601 24.936 41.392 32.587 37.251 50.677 20.791 46.478 47.164 34.82 47.654 19.119 22.086 22.115 26.817 26.879 23.931 28.38 20.174 27.753 31.588 24.88 24.278 19.433 28.67 22.125 22.341 25.441 20.446 20.112 19.115 24.384 18.607 23.339 23.766 20.639 18.774 19.856 20.291 21.924 18.837 18.941 19.15 27.086 20.31 21.996 20.859 24.783 19.037 29.741 25.885 19.673 22.373 18.909 21.9 21.17 26.034 25.18 24.272 21.752 23.327 19.501 23.233 28.126 18.894 19.585 21.749 22.241 34.607 21.801 19.039 26.769 23.296 19.629 18.011 24.325 21.239 21.587 23.597 18.195 31.009 21.66 18.319 21.905 20.404
"692" 6 2 3 1 3 2 23.676 16.471 22.358 16.627 30.164 9.906 9.082 19.862 14.248 16.673 31.204 19.195 18.982 29.331 23.424 24.492 21.738 23.266 23.665 24.626 26.227 29.675 20.074 23.232 17.922 27.05 17.414 21.374 23.904 22.717 23.662 17.612 34.133 31.255 27.599 31.347 24.685 31.515 44.868 36.17 37.703 27.949 19.745 17.462 16.35 13.709 19.365 15.465 16.602 14.326 14.337 14.409 11.993 10.986 11.86 10.598 10.939 13.261 11.881 12.358 12.125 13.5 11.606 11.757 12.253 12.674 12.189 13.191 12.686 12.894 10.32 12.157 9.317 11.349 14.212 12.274 10.472 11.737 13.966 14.052 12.521 12.275 12.189 12.16 10.803 15.093 13.52 12.07 13.441 14.692 11.865 10.747 10.243 11.515 11.079 12.843 13.835 10.448 10.324 11.981 10.915 11.428 11.587 11.366 11.635 12.246 11.593 12.319 11.526 13.503 11.728 10.416 10.96 13.547 11.712 11.04 12.74 12.631 11.33 10.807 11.501
"747" 4 5 1 1 4 3 47.333 44.438 47.723 38.556 33.219 38.587 46.75 43.638 47.386 39.654 39.021 40.172 44.822 48.063 59.171 41.812 43.647 55.758 54.608 48.23 55.89 51.065 47.615 57.478 49.039 44.412 49.669 42.088 44.668 44.868 48.482 43.118 49.42 51.906 24.805 50.095 44.988 48.698 59.941 72.646 73.991 67.028 61.805 58.08 46.558 63.345 63.479 46.412 47.924 47.01 43.7 37.638 38.871 43.539 36.459 37.246 40.082 37.129 35.888 39.294 39.089 35.076 39.113 37.828 38.206 36.015 38.266 37.222 38.124 34.517 36.353 35.712 33.522 34.503 37.189 33.655 29.69 40.954 38.054 32.804 35.838 37.829 32.634 29.193 41.666 35.801 32.332 37.671 38.003 37.086 36.478 37.506 34.822 34.69 35.706 37.018 46.201 32.827 35.065 40.052 34.313 34.4 39.211 34.075 30.321 33.771 34.263 35.324 31.608 36.381 34.652 40.384 40.321 34.071 33.844 31.124 30.242 36.674 33.161 36.323 36.384
"790" 4 4 1 1 4 5 33.654 24.308 21.396 24.307 21.355 29.539 36.826 33.533 25.821 28.869 28.652 25.541 32.084 39.286 24.484 42.651 26.825 29.977 31.924 38.064 49.753 31.382 35.084 36.317 36.742 25.591 27.296 31.695 27.981 37.196 27.718 29.464 32.669 27.428 36.508 34.161 45.592 44.891 35.162 44.681 53.738 51.174 35.124 38.909 37.603 35.912 36.881 35.364 37.224 36.507 33.255 43.632 39.395 38.713 44.204 40.322 44.661 35.104 36.772 36.558 34.192 35.333 37.764 36.09 36.094 34.174 37.578 38.103 36.25 41.951 35.08 34.683 40.033 35.907 35.972 36.418 37.513 40.072 32.952 36.776 32.112 39.897 38.35 40.086 33.978 35.7 35.289 34.481 38.703 37.161 38.95 37.22 32.741 37.703 34.831 34.868 33.827 39.26 36.04 35.158 32.244 35.882 35.209 35.183 37.176 35.544 33.7 32.479 32.891 36.848 38.363 33.722 36.006 34.361 35.145 34.305 33.077 36.809 35.38 37.81 33.04
